VALDATA,IPCA,TAXA_DESOCUPACAO,ANO,MES,TRIMESTRE,ANO_MES,IPCA_VARIACAO_MENSAL,IPCA_VARIACAO_ANUAL,DESOCUPACAO_VARIACAO_MENSAL,DESOCUPACAO_VARIACAO_ANUAL,CLASSIFICACAO_INFLACAO,CLASSIFICACAO_DESOCUPACAO
2016-05-01,4675.23,11.3,2016,5,2,2016-05,0.7799010573285248,9.321189730159452,0.0,3.1000000000000014,Alta,Moderada
2016-06-01,4691.59,11.4,2016,6,2,2016-06,0.34992930829071955,8.843747317528106,0.09999999999999964,3.0,Alta,Moderada
2016-07-01,4715.99,11.7,2016,7,3,2016-07,0.5200795465929442,8.735771054919073,0.29999999999999893,3.0999999999999996,Alta,Moderada
2016-08-01,4736.74,11.9,2016,8,3,2016-08,0.4399924512138442,8.974497601601229,0.20000000000000107,3.0999999999999996,Alta,Moderada
2016-09-01,4740.53,11.9,2016,9,3,2016-09,0.08001283583223273,8.475968623287233,0.0,2.9000000000000004,Alta,Moderada
2016-10-01,4752.86,11.9,2016,10,4,2016-10,0.26009749964666096,7.873670831489243,0.0,2.8000000000000007,Alta,Moderada
2016-11-01,4761.42,12.0,2016,11,4,2016-11,0.18010208590197863,6.987383298318162,0.09999999999999964,2.9000000000000004,Alta,Alta
2016-12-01,4775.7,12.1,2016,12,4,2016-12,0.29991053089204467,6.287988213221385,0.09999999999999964,3.0,Alta,Alta
2017-01-01,4793.85,12.7,2017,1,1,2017-01,0.38004899805266223,5.354015071765628,0.5999999999999996,3.0999999999999996,Moderada,Alta
2017-02-01,4809.67,13.3,2017,2,1,2017-02,0.33000615371778785,4.758907296163506,0.6000000000000014,3.0,Moderada,Alta
2017-03-01,4821.69,13.9,2017,3,1,2017-03,0.24991319570779602,4.571105115681884,0.5999999999999996,2.9000000000000004,Moderada,Alta
2017-04-01,4828.44,13.7,2017,4,2,2017-04,0.1399924093004712,4.082516894622801,-0.20000000000000107,2.3999999999999986,Moderada,Alta
2017-05-01,4843.41,13.4,2017,5,2,2017-05,0.3100380247036405,3.5972561777709355,-0.29999999999999893,2.0999999999999996,Moderada,Alta
2017-06-01,4832.27,13.1,2017,6,2,2017-06,-0.2300032415178399,2.9985569924055655,-0.3000000000000007,1.6999999999999993,Baixa,Alta
2017-07-01,4843.87,12.9,2017,7,3,2017-07,0.24005281161854075,2.711625766806125,-0.1999999999999993,1.200000000000001,Baixa,Alta
2017-08-01,4853.07,12.7,2017,8,3,2017-08,0.18993077848910023,2.4559084940275255,-0.20000000000000107,0.7999999999999989,Baixa,Alta
2017-09-01,4860.83,12.5,2017,9,3,2017-09,0.15989878571709415,2.5376909332922803,-0.1999999999999993,0.5999999999999996,Baixa,Alta
2017-10-01,4881.25,12.3,2017,10,4,2017-10,0.4200928647988045,2.7013208888963858,-0.1999999999999993,0.40000000000000036,Baixa,Alta
2017-11-01,4894.92,12.1,2017,11,4,2017-11,0.28005121638925434,2.803785425356309,-0.20000000000000107,0.09999999999999964,Baixa,Alta
2017-12-01,4916.46,11.9,2017,12,4,2017-12,0.44004804981490064,2.9474213204347066,-0.1999999999999993,-0.1999999999999993,Baixa,Moderada
2018-01-01,4930.72,12.3,2018,1,1,2018-01,0.29004609007294846,2.8551164512865324,0.40000000000000036,-0.3999999999999986,Baixa,Alta
2018-02-01,4946.5,12.7,2018,2,1,2018-02,0.3200343965992669,2.8448937245174832,0.3999999999999986,-0.6000000000000014,Baixa,Alta
2018-03-01,4950.95,13.2,2018,3,1,2018-03,0.08996259981803867,2.6808027890635966,0.5,-0.7000000000000011,Baixa,Alta
2018-04-01,4961.84,13.0,2018,4,2,2018-04,0.21995778587948767,2.762797093885405,-0.1999999999999993,-0.6999999999999993,Baixa,Alta
2018-05-01,4981.69,12.8,2018,5,2,2018-05,0.40005320606870676,2.855013306740495,-0.1999999999999993,-0.5999999999999996,Baixa,Alta
2018-06-01,5044.46,12.6,2018,6,2,2018-06,1.2600141718974944,4.391103973908739,-0.20000000000000107,-0.5,Moderada,Alta
2018-07-01,5061.11,12.4,2018,7,3,2018-07,0.33006506147337245,4.484843730323074,-0.1999999999999993,-0.5,Moderada,Alta
2018-08-01,5056.56,12.2,2018,8,3,2018-08,-0.08990122720112792,4.193015967212532,-0.20000000000000107,-0.5,Moderada,Alta
2018-09-01,5080.83,12.0,2018,9,3,2018-09,0.47997057287958445,4.525976016441646,-0.1999999999999993,-0.5,Moderada,Alta
2018-10-01,5103.69,11.8,2018,10,4,2018-10,0.44992648838870775,4.5570294494237995,-0.1999999999999993,-0.5,Moderada,Moderada
2018-11-01,5092.97,11.7,2018,11,4,2018-11,-0.21004410534337659,4.046031395814431,-0.10000000000000142,-0.40000000000000036,Moderada,Moderada
2018-12-01,5100.61,11.7,2018,12,4,2018-12,0.15001070102511616,3.7455811701915476,0.0,-0.20000000000000107,Moderada,Moderada
2019-01-01,5116.93,12.2,2019,1,1,2019-01,0.3199617300675861,3.7765275659538577,0.5,-0.10000000000000142,Moderada,Alta
2019-02-01,5138.93,12.5,2019,2,1,2019-02,0.4299452992321484,3.890225411907422,0.3000000000000007,-0.1999999999999993,Moderada,Alta
2019-03-01,5177.47,12.8,2019,3,1,2019-03,0.7499615678750349,4.575283531443475,0.3000000000000007,-0.3999999999999986,Moderada,Alta
2019-04-01,5206.98,12.6,2019,4,2,2019-04,0.5699695024790064,4.94050594134432,-0.20000000000000107,-0.40000000000000036,Moderada,Alta
2019-05-01,5213.75,12.4,2019,5,2,2019-05,0.13001778382095708,4.658258542783678,-0.1999999999999993,-0.40000000000000036,Moderada,Alta
2019-06-01,5214.27,12.1,2019,6,2,2019-06,0.009973627427473097,3.3662671524801624,-0.3000000000000007,-0.5,Moderada,Alta
2019-07-01,5224.18,11.9,2019,7,3,2019-07,0.19005536729015393,3.2220204658661933,-0.1999999999999993,-0.5,Moderada,Moderada
2019-08-01,5229.93,11.9,2019,8,3,2019-08,0.11006512026767723,3.4286155014476183,0.0,-0.29999999999999893,Moderada,Moderada
2019-09-01,5227.84,11.9,2019,9,3,2019-09,-0.03996229395040185,2.893424893176899,0.0,-0.09999999999999964,Baixa,Moderada
2019-10-01,5233.07,11.7,2019,10,4,2019-10,0.10004131725529497,2.5350285773626524,-0.20000000000000107,-0.10000000000000142,Baixa,Moderada
2019-11-01,5259.76,11.3,2019,11,4,2019-11,0.510025663711744,3.274906390573662,-0.3999999999999986,-0.3999999999999986,Moderada,Moderada
2019-12-01,5320.25,11.1,2019,12,4,2019-12,1.150052473877139,4.306151617159526,-0.20000000000000107,-0.5999999999999996,Moderada,Moderada
2020-01-01,5331.42,11.3,2020,1,1,2020-01,0.2099525398242541,4.191771237832054,0.20000000000000107,-0.8999999999999986,Moderada,Moderada
2020-02-01,5344.75,11.7,2020,2,1,2020-02,0.25002719725701894,4.005113905034707,0.3999999999999986,-0.8000000000000007,Moderada,Moderada
2020-03-01,5348.49,12.4,2020,3,1,2020-03,0.06997520931755208,3.303157719890204,0.7000000000000011,-0.40000000000000036,Moderada,Alta
2020-04-01,5331.91,12.7,2020,4,2,2020-04,-0.3099940356997899,2.3992794287667873,0.29999999999999893,0.09999999999999964,Baixa,Alta
2020-05-01,5311.65,13.1,2020,5,2,2020-05,-0.37997640620340833,1.8777271637496984,0.40000000000000036,0.6999999999999993,Baixa,Alta
2020-06-01,5325.46,13.6,2020,6,2,2020-06,0.25999454030292135,2.1324173853674466,0.5,1.5,Baixa,Alta
2020-07-01,5344.63,14.1,2020,7,3,2020-07,0.3599689040946652,2.3056249976072696,0.5,2.1999999999999993,Baixa,Alta
2020-08-01,5357.46,14.8,2020,8,3,2020-08,0.24005403554596683,2.438464759566572,0.7000000000000011,2.9000000000000004,Baixa,Alta
2020-09-01,5391.75,14.9,2020,9,3,2020-09,0.6400421095071218,3.135329313827495,0.09999999999999964,3.0,Moderada,Alta
2020-10-01,5438.12,14.6,2020,10,4,2020-10,0.8600176195112885,3.9183500316257946,-0.3000000000000007,2.9000000000000004,Moderada,Alta
2020-11-01,5486.52,14.3,2020,11,4,2020-11,0.890013460534167,4.311223325779134,-0.29999999999999893,3.0,Moderada,Alta
2020-12-01,5560.59,14.2,2020,12,4,2020-12,1.3500360884495022,4.517456886424509,-0.10000000000000142,3.0999999999999996,Moderada,Alta
2021-01-01,5574.49,14.4,2021,1,1,2021-01,0.24997347403781234,4.559198112322793,0.20000000000000107,3.0999999999999996,Moderada,Alta
2021-02-01,5622.43,14.6,2021,2,1,2021-02,0.8599889855394949,5.195378642593207,0.1999999999999993,2.9000000000000004,Moderada,Alta
2021-03-01,5674.72,14.9,2021,3,1,2021-03,0.930024918051453,6.099478544411618,0.3000000000000007,2.5,Alta,Alta
2021-04-01,5692.31,14.8,2021,4,2,2021-04,0.30997124087179806,6.759303889225454,-0.09999999999999964,2.1000000000000014,Alta,Alta
2021-05-01,5739.56,14.7,2021,5,2,2021-05,0.8300672310538326,8.056065441058813,-0.10000000000000142,1.5999999999999996,Alta,Alta
2021-06-01,5769.98,14.2,2021,6,2,2021-06,0.5300057844155104,8.347072365579677,-0.5,0.5999999999999996,Alta,Alta
2021-07-01,5825.37,13.7,2021,7,3,2021-07,0.9599686654026662,8.994822840870187,-0.5,-0.40000000000000036,Alta,Alta
